ranking,product,PCI
50,PERCUSSION INSTRUMENTS,0.6579282166165267
51,CURTAINS AND INDOOR BLINDS,0.6579282166165267
52,Machinery for filling, packing or packaging,0.6579282166165267
53,STEPS, LADDERS AND SCAFFOLDS,0.6410582623443081
54,Beds, nests and furniture for animals,0.6241883080720895
55,PRINTING MACHINES,0.6073183537998708
56,Hardware for curtains,0.6073183537998708
57,GRAPHIC SYMBOLS AND LOGOS, SURFACE PATTERNS, ORNAMENTATION,0.5904483995276522
58,MIRRORS AND FRAMES,0.5904483995276522
59,ROPES AND HOOPING MATERIALS,0.5735784452554336
60,HANDLES, KNOBS AND HINGES,0.5567084909832148
61,MEDALS AND BADGES,0.5567084909832148
62,PROJECTILE WEAPONS,0.506098628166559
63,BRUSHES AND BROOMS FOR CLEANING,0.506098628166559
64,CLOCKS AND ALARM CLOCKS,0.506098628166559
65,WRITING PAPER, CARDS FOR CORRESPONDENCE AND ANNOUNCEMENTS,0.4892286738943404
66,PHOTOCOPYING APPARATUS AND ENLARGERS,0.4554887653499031
67,REFUSE AND TRASH CONTAINERS AND STANDS THEREFOR,0.43861881107768447
68,VEHICLES DRAWN BY ANIMALS,0.43861881107768447
69,Air fresheners,0.43861881107768447
70,SPECIAL-PURPOSE VEHICLES,0.4048789025332472
71,TOOLS AND IMPLEMENTS FOR DRILLING, MILLING OR DIGGING,0.4048789025332472
72,Sanitary appliances for HYGIENIC PURPOSES,0.4048789025332472
73,Toys AND TRAINING EQUIPMENT for animals,0.4048789025332472
74,DEVICES AND EQUIPMENT AGAINST FIRE HAZARDS,0.38800894826102855
75,BAKERS� PRODUCTS, BISCUITS, PASTRY, PASTA AND OTHER CEREAL PRODUCTS, CHOCOLATES, CONFECTIONERY, ICES,0.37113899398880995
76,OTHER AMUSEMENT AND ENTERTAINMENT ARTICLES,0.37113899398880995
77,CLOTHES HANGERS,0.37113899398880995
78,METAL FITTINGS AND MOUNTINGS FOR DOORS, WINDOWS AND FURNITURE, AND SIMILAR ARTICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,0.37113899398880995
79,OFFICE EQUIPMENT,0.37113899398880995
80,Table cutlery,0.3542690397165913
81,FEEDERS AND WATERERS,0.3542690397165913
82,[vacant],0.3373990854443727
83,COMPOSITE FURNITURE,0.3373990854443727
84,Wigs and false beauty articles,0.3373990854443727
85,Litter BOXES and devices for removing animal excrement,0.32052913117215404
86,PENS, CAGES, KENNELS AND SIMILAR SHELTERS,0.3036591768999354
87,Equipment for urination and defecation,0.2867892226277168
88,OTHER WEAPONS,0.2867892226277168
89,ASHTRAYS,0.2699192683554981
90,WALKING AIDS,0.2699192683554981
91,BOOKS AND OTHER OBJECTS OF SIMILAR OUTWARD APPEARANCE,0.2530493140832795
92,PALLETS AND PLATFORMS FOR FORKLIFTS,0.23617935981106086
93,SIGNALLING APPARATUS AND DEVICES,0.23617935981106086
94,CANDLESTICKS AND CANDELABRA,0.21930940553884223
95,BEDS,0.21930940553884223
96,Stands and holders for household appliances and utensils,0.21930940553884223
97,PREFABRICATED OR PRE-ASSEMBLED BUILDING PARTS,0.2024394512666236
98,APPLIANCES AND UTENSILS, HAND-OPERATED, FOR PREPARING FOOD OR DRINK,0.2024394512666236
99,COSMETIC PRODUCTS,0.2024394512666236
100,UMBRELLAS, PARASOLS, SUNSHADES AND WALKING STICKS,0.2024394512666236
101,HUNTING AND FISHING EQUIPMENT,0.2024394512666236
102,DISPLAY AND SALES EQUIPMENT,0.18556949699440498
103,TEACHING MATERIALS AND APPARATUS,0.18556949699440498
104,STRINGED INSTRUMENTS,0.16869954272218635
105,TRAPS, ARTICLES FOR PEST KILLING,0.16869954272218635
106,SCREWDRIVERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS,0.16869954272218635
107,NECKTIES, SCARVES, NECKERCHIEFS AND HANDKERCHIEFS,0.16869954272218635
108,HAIR STYLING APPARATUS AND INSTRUMENTS,0.1518295884499677
109,CLOSING MEANS AND ATTACHMENTS,0.11808967990553043
110,SHIPS AND BOATS,0.11808967990553043
111,Grooming articles for animals,0.11808967990553043
112,Solar equipment,0.1012197256333118
113,HAMMERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS,0.1012197256333118
114,BOOKBINDING MACHINES, PRINTERS� STAPLING MACHINES, GUILLOTINES AND TRIMMERS (FOR BOOKBINDING),0.08434977136109317
115,DEVICES AND EQUIPMENT FOR ACCIDENT PREVENTION AND FOR RESCUE, NOT ELSEWHERE SPECIFIED,0.06747981708887453
116,OTHER HOUSEHOLD RECEPTACLES,0.06747981708887453
117,ENGINES,0.06747981708887453
118,LIGHTERS,0.06747981708887453
119,TOILET BRUSHES, CLOTHES BRUSHES AND SHOE BRUSHES,0.033739908544437265
120,OPTICAL ARTICLES,0.033739908544437265
121,CONSTRUCTION AND MINING MACHINERY,0.033739908544437265
122,WASHING, CLEANING AND DRYING MACHINES,0.033739908544437265
123,HOUSES, GARAGES AND OTHER BUILDINGS,0.016869954272218633
124,HANDCARTS, WHEELBARROWS,0.016869954272218633
125,HEATING EQUIPMENT,0.016869954272218633
126,PARTS, EQUIPMENT AND ACCESSORIES FOR VEHICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,0.016869954272218633
127,MECHANICAL INSTRUMENTS,0.016869954272218633
128,BUILDING MATERIALS,-0.0
129,FASTENING, SUPPORTING OR MOUNTING DEVICES NOT INCLUDED IN OTHER CLASSES,-0.0
130,PUMPS AND COMPRESSORS,-0.016869954272218633
131,MACHINES AND APPLIANCES FOR PREPARING FOOD OR DRINK, NOT ELSEWHERE SPECIFIED,-0.033739908544437265
132,LUMINOUS SOURCES, ELECTRIC OR NON-ELECTRIC,-0.0506098628166559
133,SEATS,-0.06747981708887453
134,REFRIGERATION MACHINERY AND APPARATUS,-0.06747981708887453
135,LOCKING OR CLOSING DEVICES,-0.1012197256333118
136,PIPES, CIGAR AND CIGARETTE HOLDERS,-0.11808967990553043
137,WATCHES AND WRIST WATCHES,-0.13495963417774906
138,OTHER FURNITURE AND FURNITURE PARTS,-0.1518295884499677
139,GLOVES,-0.1518295884499677
140,OTHER KITCHEN AND TABLE UTENSILS,-0.16869954272218635
141,CARPETS, MATS AND RUGS,-0.16869954272218635
142,CUTTING TOOLS AND IMPLEMENTS,-0.18556949699440498
143,Electronic cigarettes AND OTHER ELECTRONIC SMOKING SUPPLIES,-0.18556949699440498
144,TEXTILE, SEWING, KNITTING AND EMBROIDERING MACHINES, INCLUDING THEIR INTEGRAL PARTS,-0.18556949699440498
145,MATERIALS FOR DRESSING WOUNDS, NURSING AND MEDICAL CARE,-0.21930940553884223
146,PROSTHETIC ARTICLES,-0.21930940553884223
147,PARTS AND ACCESSORIES FOR LIGHTING APPARATUS, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,-0.21930940553884223
148,HABERDASHERY AND CLOTHING ACCESSORIES,-0.2530493140832795
149,MATTRESSES AND CUSHIONS,-0.2530493140832795
150,AUTOMATIC VENDING MACHINES,-0.2699192683554981
151,MACHINE TOOLS, ABRADING AND FOUNDING MACHINERY,-0.2867892226277168
152,BLANKETS AND OTHER COVERING MATERIALS, HOUSEHOLD LINEN AND NAPERY,-0.2867892226277168
153,PHOTOGRAPHIC CAMERAS AND FILM CAMERAS,-0.2867892226277168
154,TYRES AND ANTI-SKID CHAINS FOR VEHICLES,-0.3373990854443727
155,STORAGE FURNITURE,-0.3373990854443727
156,ELEVATORS AND HOISTS FOR LOADING OR CONVEYING,-0.38800894826102855
157,TOILET ARTICLES AND BEAUTY PARLOR EQUIPMENT,-0.38800894826102855
158,LACE,-0.38800894826102855
159,ACCESSORIES,-0.4048789025332472
160,FANS,-0.4048789025332472
161,AIRCRAFT AND SPACE VEHICLES,-0.4217488568054658
162,FOOTWEAR, SOCKS AND STOCKINGS,-0.43861881107768447
163,LAMPS, STANDARD LAMPS, CHANDELIERS, WALL AND CEILING FIXTURES, PHOTOGRAPHIC AND CINEMATOGRAPHIC PROJECTOR LAMPS,-0.4554887653499031
164,GYMNASTICS AND SPORTS APPARATUS AND EQUIPMENT,-0.4723587196221217
165,AGRICULTURAL AND FORESTRY MACHINERY,-0.4723587196221217
166,SIGNS, SIGNBOARDS AND ADVERTISING DEVICES,-0.5229685824387776
167,TEXTILE FABRICS,-0.5567084909832148
168,JEWELLERY,-0.5904483995276522
169,Recording and data storage media,-0.5904483995276522
170,TORCHES, HAND LAMPS AND LANTERNS,-0.6410582623443081
171,TABLES AND SIMILAR FURNITURE,-0.6747981708887454
172,MOTOR CARS, BUSES AND LORRIES,-0.691668125160964
173,STORAGE CANS, DRUMS AND CASKS,-0.7254080337054012
174,TYPEWRITERS AND CALCULATING MACHINES,-0.7591479422498385
175,GAMES AND TOYS,-0.826627759338713
176,PUBLIC LIGHTING FIXTURES, OUTDOOR LIGHTING, STAGE LIGHTING,-0.8434977136109316
177,FLUID DISTRIBUTION EQUIPMENT,-0.8941075764275875
178,SCREEN DISPLAYS AND ICONS,-0.961587393516462
179,GENERATORS AND MOTORS,-0.9784573477886808
180,HEADWEAR,-1.0628071191497739
181,OTHER TOOLS AND IMPLEMENTS,-1.0628071191497739
182,MEDICAL INSTRUMENTS, INSTRUMENTS AND TOOLS FOR LABORATORY USE,-1.1134169819664297
183,TRUNKS, SUITCASES, BRIEFCASES, HANDBAGS, KEYHOLDERS, CASES SPECIALLY DESIGNED FOR THEIR CONTENTS, WALLETS AND SIMILAR ARTICLES,-1.1134169819664297
184,EQUIPMENT FOR DISTRIBUTION OR CONTROL OF ELECTRIC POWER,-1.1302869362386485
185,UNDERGARMENTS, LINGERIE, CORSETS, BRASSI�RES, NIGHTWEAR,-1.2315066618719603
186,OTHER MEASURING INSTRUMENTS, APPARATUS AND DEVICES,-1.2821165246886161
187,COOKING APPLIANCES, UTENSILS AND CONTAINERS,-1.2821165246886161
188,MISCELLANEOUS,-1.3158564332330533
189,ARTIFICIAL OR NATURAL SHEET MATERIAL,-1.3664662960497094
190,VENTILATION AND AIR-CONDITIONING EQUIPMENT,-1.4170761588663652
191,CYCLES AND MOTORCYCLES,-1.518295884499677
192,CHINA, GLASSWARE, DISHES AND OTHER ARTICLES OF A SIMILAR NATURE,-1.518295884499677
193,TRINKETS, TABLE, MANTEL AND WALL ORNAMENTS, FLOWER VASES AND POTS,-1.5351658387718956
194,OTHER PRINTED MATTER,-1.5520357930441142
195,CASINGS, CASES, DIALS, HANDS AND ALL OTHER PARTS AND ACCESSORIES OF INSTRUMENTS FOR MEASURING, CHECKING AND SIGNALLING,-1.6026456558607702
196,MATERIALS AND INSTRUMENTS FOR WRITING BY HAND, FOR DRAWING, FOR PAINTING, FOR SCULPTURE, FOR ENGRAVING AND FOR OTHER ARTISTIC TECHNIQUES,-1.6026456558607702
197,EQUIPMENT FOR THE RECORDING OR REPRODUCTION OF SOUNDS OR PICTURES,-1.6701254729496446
198,GARMENTS,-1.6869954272218632
199,BOXES, CASES, CONTAINERS, TIN CANS,-1.8725649242162683
200,APPARATUS AND EQUIPMENT FOR DOCTORS, HOSPITALS AND LABORATORIES,-1.923174787032924
201,PROJECTORS AND VIEWERS,-2.0412644669384545
202,BOTTLES, FLASKS, POTS, CARBOYS, DEMIJOHNS, AND PRESSURIZED CONTAINERS,-2.1256142382995478
203,TELECOMMUNICATIONS EQUIPMENT, WIRELESS REMOTE CONTROLS AND RADIO AMPLIFIERS,-2.176224101116204
204,Holders, stands and supports for electronic equipment, not included in other classes,-2.5642330493772323
205,INSTRUMENTS, APPARATUS AND DEVICES FOR CHECKING, SECURITY OR TESTING,-3.677650031343662
206,POWER TRANSFORMERS, RECTIFIERS, BATTERIES AND ACCUMULATORS,-3.778869756976974
207,BAGS, SACHETS, TUBES AND CAPSULES,-4.403058065049064
208,DATA PROCESSING EQUIPMENT AS WELL AS PERIPHERAL APPARATUS AND DEVICES,-4.993506464576716
