ranking,product,ECI
124,SCREEN DISPLAYS AND ICONS,-0.039234526650726936
125,OTHER AMUSEMENT AND ENTERTAINMENT ARTICLES,-0.04880392339480668
126,APPARATUS AND EQUIPMENT FOR DOCTORS, HOSPITALS AND LABORATORIES,-0.05933025981329439
127,MATERIALS FOR DRESSING WOUNDS, NURSING AND MEDICAL CARE,-0.06794271688296616
128,SHIPS AND BOATS,-0.07846905330145387
129,OFFICE EQUIPMENT,-0.07846905330145387
130,OTHER KITCHEN AND TABLE UTENSILS,-0.08803845004553362
131,FLUID DISTRIBUTION EQUIPMENT,-0.11196194190573297
132,PIPES, CIGAR AND CIGARETTE HOLDERS,-0.11770357995218082
133,INSTRUMENTS, APPARATUS AND DEVICES FOR CHECKING, SECURITY OR TESTING,-0.14928258920764395
134,FLAGS, FESTIVE DECORATIONS,-0.17607690009106725
135,[vacant],-0.18660323650955496
136,PROJECTORS AND VIEWERS,-0.2000003919512666
137,LUMINOUS SOURCES, ELECTRIC OR NON-ELECTRIC,-0.22679470283468986
138,GLOVES,-0.2325363408811377
139,MOTOR CARS, BUSES AND LORRIES,-0.24689043599725732
140,Grooming articles for animals,-0.259330651764561
141,STRINGED INSTRUMENTS,-0.2660292294854168
142,NECKTIES, SCARVES, NECKERCHIEFS AND HANDKERCHIEFS,-0.2813402642759444
143,CLOSING MEANS AND ATTACHMENTS,-0.2851680229735763
144,HAMPERS, CRATES AND BASKETS,-0.2851680229735763
145,BAKERS’ PRODUCTS, BISCUITS, PASTRY, PASTA AND OTHER CEREAL PRODUCTS, CHOCOLATES, CONFECTIONERY, ICES,-0.29760823874087994
146,LIGHTERS,-0.3148331528802235
147,SIGNS, SIGNBOARDS AND ADVERTISING DEVICES,-0.3177039719034474
148,PUMPS AND COMPRESSORS,-0.3263164289731192
149,HABERDASHERY AND CLOTHING ACCESSORIES,-0.3473691018100946
150,CARPETS, MATS AND RUGS,-0.3655509556238461
151,WIND INSTRUMENTS,-0.3674648349726621
152,MATERIALS AND INSTRUMENTS FOR WRITING BY HAND, FOR DRAWING, FOR PAINTING, FOR SCULPTURE, FOR ENGRAVING AND FOR OTHER ARTISTIC TECHNIQUES,-0.3741634126935179
153,HEATING EQUIPMENT,-0.3779911713911498
154,Air fresheners,-0.39425914585608535
155,COMPOSITE FURNITURE,-0.3952160855304933
156,MEDICAL INSTRUMENTS, INSTRUMENTS AND TOOLS FOR LABORATORY USE,-0.43732143120444417
157,BOOKS AND OTHER OBJECTS OF SIMILAR OUTWARD APPEARANCE,-0.47177125948313126
158,LOCKING OR CLOSING DEVICES,-0.47464207850635515
159,HOUSES, GARAGES AND OTHER BUILDINGS,-0.5244029415755698
160,CLOCKS AND ALARM CLOCKS,-0.553111131807809
161,GENERATORS AND MOTORS,-0.554068071482217
162,GYMNASTICS AND SPORTS APPARATUS AND EQUIPMENT,-0.5770346236680084
163,ASHTRAYS,-0.6449773405509746
164,OTHER FURNITURE AND FURNITURE PARTS,-0.6459342802253826
165,UMBRELLAS, PARASOLS, SUNSHADES AND WALKING STICKS,-0.6545467372950543
166,Recording and data storage media,-0.6870826862249254
167,TOILET ARTICLES AND BEAUTY PARLOR EQUIPMENT,-0.6880396258993334
168,OTHER WEAPONS,-0.7244033335268364
169,AIRCRAFT AND SPACE VEHICLES,-0.7722503172472351
170,CYCLES AND MOTORCYCLES,-0.777035015619275
171,MISCELLANEOUS,-0.7885182917121707
172,TORCHES, HAND LAMPS AND LANTERNS,-0.7885182917121707
173,FANS,-0.8468916118510571
174,PUBLIC LIGHTING FIXTURES, OUTDOOR LIGHTING, STAGE LIGHTING,-0.9129204493852073
175,STORAGE FURNITURE,-0.927274544501327
176,TEXTILE FABRICS,-0.9454563983150784
177,BUILDING MATERIALS,-0.9779923472449495
178,PREFABRICATED OR PRE-ASSEMBLED BUILDING PARTS,-0.9837339852913974
179,SEATS,-1.0114852358492286
180,HEADWEAR,-1.0641169179416672
181,EQUIPMENT FOR DISTRIBUTION OR CONTROL OF ELECTRIC POWER,-1.0909112288250904
182,BEDS,-1.1043083842668022
183,STORAGE CANS, DRUMS AND CASKS,-1.1157916603596978
184,TRINKETS, TABLE, MANTEL AND WALL ORNAMENTS, FLOWER VASES AND POTS,-1.1157916603596978
185,TYRES AND ANTI-SKID CHAINS FOR VEHICLES,-1.1703372218009525
186,AUTOMATIC VENDING MACHINES,-1.18086355821944
187,EQUIPMENT FOR THE RECORDING OR REPRODUCTION OF SOUNDS OR PICTURES,-1.2287105419398388
188,JEWELLERY,-1.3502418805896514
189,ARTIFICIAL OR NATURAL SHEET MATERIAL,-1.4708162795650561
190,FOOTWEAR, SOCKS AND STOCKINGS,-1.5330173584015745
191,TABLES AND SIMILAR FURNITURE,-1.5875629198428292
192,UNDERGARMENTS, LINGERIE, CORSETS, BRASSIÈRES, NIGHTWEAR,-1.589476799191645
193,GARMENTS,-1.7837355530964638
194,LAMPS, STANDARD LAMPS, CHANDELIERS, WALL AND CEILING FIXTURES, PHOTOGRAPHIC AND CINEMATOGRAPHIC PROJECTOR LAMPS,-1.7913910704917275
195,TELECOMMUNICATIONS EQUIPMENT, WIRELESS REMOTE CONTROLS AND RADIO AMPLIFIERS,-1.8784725808628533
196,OTHER PRINTED MATTER,-1.891869736304565
197,TRUNKS, SUITCASES, BRIEFCASES, HANDBAGS, KEYHOLDERS, CASES SPECIALLY DESIGNED FOR THEIR CONTENTS, WALLETS AND SIMILAR ARTICLES,-2.114836680441623
198,DATA PROCESSING EQUIPMENT AS WELL AS PERIPHERAL APPARATUS AND DEVICES,-2.147372629371494
199,POWER TRANSFORMERS, RECTIFIERS, BATTERIES AND ACCUMULATORS,-2.173210000580509
200,BLANKETS AND OTHER COVERING MATERIALS, HOUSEHOLD LINEN AND NAPERY,-2.265076209323675
201,GAMES AND TOYS,-2.3330189262066408
202,CHINA, GLASSWARE, DISHES AND OTHER ARTICLES OF A SIMILAR NATURE,-2.3722534528573678
203,BOTTLES, FLASKS, POTS, CARBOYS, DEMIJOHNS, AND PRESSURIZED CONTAINERS,-2.844024712340499
204,MECHANICAL INSTRUMENTS,-3.1492884684766427
205,BOXES, CASES, CONTAINERS, TIN CANS,-3.3253653685677103
206,BAGS, SACHETS, TUBES AND CAPSULES,-5.078478852083118
