institution;country;production;year
Tbilisi State University;Georgia;758;2018
University of Sargodha;Pakistan;647;2018
College of Law;Latvia;479;2018
University of Pavol Jozef Šafárik;Slovakia;617;2018
Zunyi Medical University;China;419;2018
Samara National Research University;Russia;1159;2018
Jamia Hamdard;India;572;2018
Sunan Gunung Djati State Islamic University Bandung;Indonesia;1055;2018
Universitas Muhammadiyah Jember;Indonesia;977;2018
Universitas Muhammadiyah Malang;Indonesia;965;2018
University of Babylon;Iraq;632;2018
Université d'Artois;France;662;2018
University of New Hampshire at Manchester;United States;307;2018
Aerospace Information Research Institute;China;12;2018
New Mexico Institute of Mining and Technology;United States;424;2018
University of Indianapolis;United States;735;2018
Universitas Islam Negeri Raden Intan Lampung;Indonesia;717;2018
Birla Institute of Technology, Mesra;India;718;2018
Xi'an Shiyou University;China;528;2018
Ho Chi Minh City University of Technology;Vietnam;499;2018
Supélec;France;150;2018
Institute of Science and Technology;Nepal;385;2018
Universitas Nusa Bangsa;Indonesia;495;2018
Jiangxi Agricultural University;China;374;2018
Bangladesh Agricultural University;Bangladesh;654;2018
Shandong University of Traditional Chinese Medicine;China;277;2018
Université d'Abomey-Calavi;Benin;784;2018
Universitas Pamulang;Indonesia;779;2018
Universidade de Caxias do Sul;Brazil;726;2018
Institut Agro Montpellier;France;720;2018
Punjabi University;India;714;2018
International University of Health and Welfare;Japan;689;2018
Chimie ParisTech;France;357;2018
Marshall University;United States;480;2018
Gembloux Agro-Bio Tech;Belgium;381;2018
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology;India;635;2018
International Islamic University, Islamabad;Pakistan;805;2018
Ochanomizu University;Japan;348;2018
University of Puerto Rico-Mayaguez;Puerto Rico;495;2018
Tianjin University of Traditional Chinese Medicine;China;494;2018
District University of Bogotá;Colombia;725;2018
Universidade Federal da Grande Dourados;Brazil;818;2018
Fayoum University;Egypt;641;2018
Royal Military College of Canada;Canada;308;2018
Bohai University;China;465;2018
State University of Norte Fluminense;Brazil;551;2018
University of Kashmir;India;618;2018
University of Science and Technology;Yemen;443;2018
Pedagogical University;Mozambique;448;2018
Badji Mokhtar-Annaba University;Algeria;721;2018
University of Cape Coast;Ghana;517;2018
Université Paris-Panthéon-Assas;France;604;2018
National Taipei University;Taiwan;582;2018
Moscow State University of Civil Engineering;Russia;1354;2018
University of Piraeus;Greece;548;2018
Maulana Azad Medical College;India;492;2018
University Frères Mentouri Constantine 1;Algeria;671;2018
Taiyuan University of Science and Technology;China;339;2018
Wilmington University;United States;163;2018
Universidade do Estado de Mato Grosso;Brazil;944;2018
University of Koblenz and Landau;Germany;631;2018
University of Arkansas at Little Rock;United States;418;2018
University Town of Shenzhen;China;963;2018
Universidade Estadual do Centro-Oeste;Brazil;752;2018
University of Cartagena;Colombia;593;2018
Universidade do Estado do Pará;Brazil;672;2018
École Centrale de Lille;France;571;2018
Yan'an University;China;295;2018
Chiba Institute of Technology;Japan;430;2018
Jakarta State Polytechnic;Indonesia;829;2018
University of Montenegro;Montenegro;628;2018
Universidade Paulista;Brazil;650;2018
Datta Meghe Institute of Medical Sciences;India;171;2018
New School;United States;445;2018
Baruch College;United States;386;2018
Universidade Estadual de Goiás;Brazil;738;2018
Hunan University of Technology;China;293;2018
Don State Technical University;Russia;1046;2018
Universitas Muhammadiyah Sidoarjo;Indonesia;440;2018
King's College School;United Kingdom;278;2018
Bayero University Kano;Nigeria;701;2018
Heilongjiang Institute of Technology;China;315;2018
University of Zambia;Zambia;466;2018
University of Pannonia;Hungary;466;2018
Université de Dschang;Cameroon;578;2018
Rotterdam University of Applied Sciences;The Netherlands;169;2018
Islamic Azad University South Tehran Branch;Iran;762;2018
ParisTech;France;706;2018
Indraprasta Pgri University;Indonesia;741;2018
Hsin Sheng College of Medical Care and Management;Taiwan;24;2018
University of Sannio;Italy;483;2018
Technical University of Crete;Greece;390;2018
West University of Timişoara;Romania;525;2018
Mohamed I University;Morocco;518;2018
Saint Petersburg State Electrotechnical University;Russia;811;2018
Seton Hall University;United States;434;2018
Zhaotong University;China;73;2018
Satya Wacana Christian University;Indonesia;803;2018
Southern Illinois University Edwardsville;United States;409;2018
University of Singaperbangsa Karawang;Indonesia;317;2018
Sam Houston State University;United States;484;2018
Christian Medical College;India;520;2018
University of Limpopo;South Africa;420;2018
Universitas Nahdlatul Ulama Indonesia;Indonesia;594;2018
Université Lille Nord de France;France;304;2018
Hadassah Academic College;Israel;99;2018
Universidade Federal dos Vales do Jequitinhonha e Mucuri;Brazil;673;2018
Universidade Federal de Rondônia;Brazil;740;2018
Universitas Muslim Indonesia;Indonesia;739;2018
Universidad de Ciencias Médicas de la Habana;Cuba;627;2018
Université Ibn Zohr;Morocco;499;2018
IAIN Palangka Raya;Indonesia;663;2018
Muroran Institute of Technology;Japan;380;2018
Universidade Federal de Alfenas;Brazil;619;2018
University of Guayaquil;Ecuador;1096;2018
Institut Agama Islam Negeri Manado;Indonesia;862;2018
University of Miskolc;Hungary;487;2018
Universidad César Vallejo;Peru;226;2018
Institut Supérieur de l'Électronique et du Numérique;France;323;2018
Paris School of Economics;France;579;2018
École nationale des ponts et chaussées;France;523;2018
El Colegio de México;Mexico;445;2018
Harbin University;China;532;2018
Louisiana Tech University;United States;390;2018
Changchun University of Technology;China;340;2018
National Institute of Technology Kurukshetra;India;849;2018
PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH;India;537;2018
École Nationale Supérieure de Chimie de Montpellier;France;431;2018
Hangzhou Medical College;China;376;2018
Westfälische Hochschule;Germany;65;2018
Universidad Central "Marta Abreu" de las Villas (UCLV);Cuba;568;2018
Chaudhary Charan Singh Haryana Agricultural University;India;503;2018
Institut Agro Rennes-Angers;France;579;2018
Université Félix Houphouët-Boigny;Ivory Coast;629;2018
Pace University;United States;375;2018
Institut National des Sciences Appliquées de Toulouse;France;303;2018
Diego Portales University;Chile;570;2018
National University of Comahue;Argentina;513;2018
Paris-Est Sup;France;680;2018
Buffalo State University;United States;212;2018
Visva-Bharati University;India;544;2018
Izmir University;Türkiye;306;2018
Bangabandhu Sheikh Mujib Medical University;Bangladesh;525;2018
Jönköping University;Sweden;525;2018
Hong Kong Metropolitan University;Hong Kong;272;2018
Dalian Jiaotong University;China;234;2018
Universidade do Oeste de Santa Catarina;Brazil;1138;2018
Xi’an University;China;524;2018
Universidad de Ciencias Medicas;Costa Rica;892;2018
University of Management and Technology;Pakistan;482;2018
Alagappa University;India;552;2018
First Pavlov State Medical University of St. Petersburg;Russia;597;2018
Helmut Schmidt University;Germany;503;2018
College of New Jersey;United States;331;2018
Mines Saint-Étienne;France;454;2018
Texas A&M Health Science Center;United States;427;2018
Universitas Muhammadiyah Kupang;Indonesia;247;2018
Medway School of Pharmacy;United Kingdom;140;2018
Forest Institute;United States;176;2018
Lake Erie College of Osteopathic Medicine;United States;108;2018
Luohe Medical College;China;64;2018
Keio University Shonan Fujisawa;Japan;150;2018
Dr D Y Patil Dental College & Hospital;India;114;2018
Escola Superior de Propaganda e Marketing;Brazil;195;2018
Isra University;Jordan;91;2018
South-West State University;Russia;206;2018
Togliatti State University;Russia;172;2018
Liverpool College;United Kingdom;10;2018
Noorul Islam University;India;130;2018
Clarendon College;United States;10;2018
Sakarya Uygulamalı Bilimler Üniversitesi;Türkiye;49;2018
Universidade Presidente Antônio Carlos;Brazil;112;2018
Ivano-Frankivsk National Technical University of Oil and Gas;Ukraine;191;2018
Kursk State Medical University;Russia;137;2018
SKEMA Business School;France;192;2018
Muhammad Nawaz Shareef University of Agriculture;Pakistan;89;2018
Harcourt Butler Technical University;India;74;2018
Centre de recherche interdisciplinaire sur les modèles esthétiques et littéraires;France;129;2018
Tumkur University;India;201;2018
Hiroshima International University;Japan;119;2018
University of French Guiana;French Guiana;198;2018
Institut Teknologi Adhi Tama Surabaya;Indonesia;203;2018
Musamus Merauke University;Indonesia;210;2018
Moscow Architectural Institute;Russia;42;2018
Center for Excellence in Education;United States;225;2018
École Supérieure de Commerce de Toulouse;France;214;2018
Brooklyn Law School;United States;89;2018
North Maharashtra University;India;146;2018
Fachhochschule Kiel;Germany;148;2018
Namibia University of Science and Technology;Namibia;195;2018
Rajiv Gandhi Technical University;India;152;2018
Universidade de Cuiabá;Brazil;152;2018
Central University of Haryana;India;124;2018
New York State School of Industrial and Labor Relations;United States;25;2018
Tashkent University of Information Technology;Uzbekistan;69;2018
Kuban State Technological University;Russia;173;2018
Andrzej Frycz Modrzewski Krakow University;Poland;222;2018
Université Abdou Moumouni;Niger;166;2018
Universidade Municipal de São Caetano do Sul;Brazil;116;2018
Al-Neelain University;Sudan;162;2018
Universidade Federal do Sul da Bahia;Brazil;200;2018
Universitas 45 Surabaya;Indonesia;97;2018
Princeton Theological Seminary;United States;49;2018
Tishk International University;Iraq;43;2018
HAN University of Applied Sciences;The Netherlands;207;2018
Universidad Técnica Estatal de Quevedo;Ecuador;186;2018
Université catholique de l'ouest;France;141;2018
The University of Texas of the Permian Basin;United States;138;2018
Universitas Internasional Semen Indonesia;Indonesia;227;2018
Institute of Business Management;Pakistan;134;2018
Andalusian School of Public Health;Spain;139;2018
Offenburg University of Applied Sciences;Germany;141;2018
National Institute of Technology;Indonesia;181;2018
Universitas Sulawesi Barat;Indonesia;137;2018
Letterkenny Institute of Technology;Ireland;29;2018
University Memory and Aging Center;United States;150;2018
Baden-Wuerttemberg Cooperative State University;Germany;189;2018
Sindh Agriculture University;Pakistan;194;2018
Kyoto College of Graduate Studies for Informatics;Japan;171;2018
Universities of Giessen and Marburg Lung Center;Germany;183;2018
St. Catherine University;United States;91;2018
Hunan Police Academy;China;41;2018
Nazi Boni University;Burkina Faso;140;2018
Hangzhou Vocational and Technical College;China;31;2018
Millersville University;United States;108;2018
Islamic Azad University, Marvdasht;Iran;245;2018
IMT Mines Alès;France;116;2018
Russian State Agrarian University - Moscow Timiryazev Agricultural Academy;Russia;69;2018
Saint Petersburg State University of Architecture and Civil Engineering;Russia;197;2018
Thiruvalluvar University;India;191;2018
Universitas Borneo Tarakan;Indonesia;166;2018
Imam Hossein University;Iran;217;2018
Kampala International University;Uganda;94;2018
State Marine Technical University of St. Petersburg;Russia;71;2018
Universidad de Guantánamo;Cuba;206;2018
Hunan University of Finance and Economics;China;94;2018
Mackay Junior College of Medicine, Nursing and Management;Taiwan;141;2018
Technological Institute of Celaya;Mexico;360;2018
Yunnan University of Traditional Chinese Medicine;China;102;2018
Juraj Dobrila University of Pula;Croatia;146;2018
Emmanuel College - Massachusetts;United States;92;2018
Krishi Vigyan Kendra, Ghatkhed Amravati;India;255;2018
Rajasthan Technical University;India;199;2018
Hanover College;United States;66;2018
Institute of Dermatology;Thailand;36;2018
J.C. Bose University of Science & Technology, YMCA;India;143;2018
B. J. Medical College & Sassoon Hospital;India;165;2018
Universitas Muhammadiyah Kendari;Indonesia;158;2018
International Management Institute;India;124;2018
Ohio Northern University;United States;88;2018
Tarleton State University;United States;141;2018
Seattle Pacific University;United States;111;2018
Drew University;United States;57;2018
National Pingtung University;Taiwan;115;2018
Winston-Salem State University;United States;155;2018
University of Shimane;Japan;87;2018
Universidad Estatal de Milagro;Ecuador;147;2018
Kuzbass State Technical University;Russia;153;2018
K S Hegde Medical Academy;India;140;2018
Hajee Mohammad Danesh Science and Technology University;Bangladesh;143;2018
Guarulhos University;Brazil;149;2018
Institute of Medical Sciences and Sum Hospital;India;132;2018
École Nationale des Greffes;France;36;2018
University of Science and Technology of Benin;Benin;125;2018
Ufuk University;Türkiye;173;2018
University of Redlands;United States;76;2018
Shaheed Suhrawardy Medical College;Bangladesh;160;2018
University of Kang Ning;Taiwan;30;2018
Urmia University of Technology;Iran;228;2018
Universidade Fundação Mineira de Educação e Cultura;Brazil;180;2018
Indian Institute of Technology Jammu;India;79;2018
Jining University;China;83;2018
Government Medical College;India;158;2018
University of El Salvador;El Salvador;298;2018
École Nationale Supérieure de Chimie de Rennes;France;109;2018
Dhanalakshmi Srinivasan Group of Institutions;India;107;2018
Xi'an International Studies University;China;108;2018
Northeast Catholic College;United States;46;2018
Universiti Teknologi Brunei;Brunei;146;2018
Eastern Liaoning University;China;24;2018
Ukrainian State University of Chemical Technology;Ukraine;135;2018
Kasturba Medical College, Mangalore;India;99;2018
Universitas Bosowa;Indonesia;71;2018
Centro Universitário UNINOVAFAPI;Brazil;143;2018
Tân Tạo University;Vietnam;45;2018
Soegijapranata Catholic University;Indonesia;169;2018
College of Tourism;Bulgaria;52;2018
Voronezh State Medical Academy named after N.N. Burdenko;Russia;181;2018
Cihan University-Erbil;Iraq;83;2018
Amur State University;Russia;186;2018
Dr. Bhim Rao Ambedkar University;India;82;2018
Instituto Federal de Educação, Ciência e Tecnologia Baiano;Brazil;205;2018
People’s University;India;129;2018
Islamic Azad University Ardabil;Iran;191;2018
Adam Smith Institute;United Kingdom;140;2018
Universidade Salgado de Oliveira;Brazil;182;2018
Universidade José do Rosário Vellano;Brazil;132;2018
Indira Gandhi Delhi Technical University for Women;India;176;2018
Odessa National Maritime University;Ukraine;209;2018
Shippensburg University;United States;81;2018
Medizinische Hochschule Brandenburg Theodor Fontane;Germany;190;2018
Henan Forestry Vocational College;China;44;2018
University of the Sacred Heart;Japan;117;2018
Insper;Brazil;152;2018
University of Zakho;Iraq;180;2018
Indiana University Indianapolis;United States;113;2018
Real Academia Española;Spain;153;2018
National Institute for Mathematical Sciences;South Korea;173;2018
Dalian Naval Academy;China;57;2018
European University of Rome;Italy;109;2018
R.V. College of Engineering;India;184;2018
Universitas Indo Global Mandiri;Indonesia;197;2018
Douglas College;Canada;89;2018
Universidad UTE;Ecuador;273;2018
Faculdades Oswaldo Cruz;Brazil;138;2018
Beijing City University;China;72;2018
Escola Superior de Saúde Egas Moniz;Portugal;122;2018
Azerbaijan Medical University;Azerbaijan;159;2018
Alsalam University College;Iraq;43;2018
Pasadena City College;United States;121;2018
Solapur University;India;179;2018
Alliance University;India;64;2018
National Institute of Technical Teachers Training and Research;India;177;2018
Université de Saida Dr.Moulay Tahar;Algeria;207;2018
Ziane Achour University of Djelfa;Algeria;180;2018
Central Institute of Fisheries Education;India;159;2018
Sichuan University of Arts and Science;China;114;2018
Kutztown University;United States;134;2018
Mirpur University of Science and Technology;Pakistan;185;2018
Ravenshaw University;India;100;2018
Universitas Muhammadiyah Parepare;Indonesia;204;2018
Liberal Arts University;Russia;96;2018
Jiangxi University of Technology;China;59;2018
Baotou Teachers College;China;43;2018
Islamic Azad University Pharmaceutical Sciences Branch;Iran;264;2018
Nasarawa State University;Nigeria;122;2018
Indian Institute of Management Indore;India;214;2018
Lawrence University;United States;95;2018
Nutrition Metabolism Aquaculture;France;124;2018
Udmurt State University;Russia;126;2018
Institute of Biological, Environmental and Rural Sciences;United Kingdom;202;2018
Shenyang Medical College;China;88;2018
National University of Jujuy;Argentina;155;2018
Texas A&M University School of Law;United States;133;2018
Turgut Özal University;Türkiye;19;2018
Universitas Widya Gama Malang;Indonesia;223;2018
Delta University for Science and Technology;Egypt;100;2018
Guangzhou Design Institute;China;18;2018
Institutt for Eksperimentell Medisinsk Forskning;Norway;75;2018
University of Vechta;Germany;139;2018
Universidad de Cuautitlán Izcalli;Mexico;120;2018
University of Suffolk;United Kingdom;123;2018
Universitas Islam Nusantara;Indonesia;98;2018
Moscow Automobile and Road Construction State Technical University;Russia;134;2018
Tajen University;Taiwan;62;2018
Petroleum & Gas University of Ploieşti;Romania;116;2018
Universidade Iguaçu;Brazil;69;2018
Orel State University named after I.S. Turgenev;Russia;211;2018
Rabindranath Tagore Medical College;India;157;2018
Islamic Azad University of Hamedan;Iran;177;2018
New York State College of Agriculture & Life Sciences;United States;107;2018
Center for Economic Research and Graduate Education – Economics Institute;Czechia;121;2018
Oranim Academic College of Education;Israel;104;2018
Azerbaijan State University of Economics;Azerbaijan;98;2018
University of Fort Lauderdale;United States;100;2018
Dnipro University of Technology;Ukraine;146;2018
Vinnytsia National Technical University;Ukraine;166;2018
National Institute for Biotechnology and Genetic Engineering;Pakistan;130;2018
Escola Superior de Ciências da Saúde;Brazil;109;2018
Catholic University of Colombia;Colombia;164;2018
Sacred Heart University;United States;134;2018
Sri Eshwar College of Engineering;India;39;2018
National University of Kyiv Mohyla Academy;Ukraine;161;2018
Ardahan University;Türkiye;149;2018
Bundelkhand University;India;153;2018
University of the Incarnate Word;United States;88;2018
Springfield College;United States;60;2018
Pacific Lutheran University;United States;129;2018
Siena College;United States;86;2018
Institut Teknologi Nasional Malang;Indonesia;167;2018
University of Bacău;Romania;107;2018
Tarsus University;Türkiye;48;2018
Pan-Atlantic University;Nigeria;138;2018
University of Muhammadiyah Mataram;Indonesia;313;2018
Frederick University;Cyprus;117;2018
Bowen University;Nigeria;94;2018
Walsh University;United States;104;2018
Dhofar University;Oman;144;2018
Universidad de Las Tunas;Cuba;367;2018
Institute of Rural Management Anand;India;121;2018
Titu Maiorescu University;Romania;118;2018
École Nationale des Chartes;France;109;2018
Peruvian Union University;Peru;124;2018
Olusegun Agagu University of Science and Technology;Nigeria;146;2018
UMIT - Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik;Austria;143;2018
École Normale Supérieure d'Abidjan;Ivory Coast;108;2018
Lincoln University College;Malaysia;109;2018
Universitas Wijayakusuma Purwokerto;Indonesia;123;2018
Indian Institute of Management Visakhapatnam;India;167;2018
Virginia State University;United States;71;2018
Universitas PGRI Yogyakarta;Indonesia;102;2018
Universidad Tecnológica Indoamérica;Ecuador;115;2018
Veszprémi Érseki Hittudományi Fõiskola;Hungary;11;2018
