institution;country;production;year
University of Augsburg;Germany;655;2012
Korea University of Science and Technology;South Korea;587;2012
University of Nis;Serbia;893;2012
University of Yamanashi;Japan;771;2012
University of Nairobi;Kenya;523;2012
Democritus University of Thrace;Greece;827;2012
Universidade Federal do Rio Grande;Brazil;742;2012
Université Sorbonne Nouvelle;France;869;2012
Université de Yaoundé I;Cameroon;541;2012
Universidade Federal Rural do Rio de Janeiro;Brazil;808;2012
Université Paris Dauphine-PSL;France;1073;2012
Annamalai University;India;942;2012
Suez Canal University;Egypt;601;2012
Akita University;Japan;554;2012
Universitat de Miguel Hernández d'Elx;Spain;726;2012
The Graduate University for Advanced Studies, SOKENDAI;Japan;604;2012
University of Baltimore;United States;635;2012
University of Rijeka;Croatia;819;2012
University of Mons;Belgium;714;2012
Jilin Medical University;China;1016;2012
FH Aachen;Germany;240;2012
Johnson University;United States;431;2012
Doshisha University;Japan;818;2012
Sunan Kalijaga State Islamic University Yogyakarta;Indonesia;187;2012
State University of Makassar;Indonesia;190;2012
National Chung Cheng University;Taiwan;864;2012
China Jiliang University;China;859;2012
Munich University of Applied Sciences;Germany;175;2012
Christ University;India;407;2012
V. N. Karazin Kharkiv National University;Ukraine;488;2012
Hamburg University of Technology;Germany;573;2012
Alexandru Ioan Cuza University;Romania;730;2012
Menlo School;United States;354;2012
Lambung Mangkurat University;Indonesia;86;2012
Universidade Brasil;Brazil;899;2012
Witten/Herdecke University;Germany;513;2012
Hamamatsu University School of Medicine;Japan;484;2012
Albany State University;United States;436;2012
Technical University of Košice;Slovakia;754;2012
AgroParisTech;France;779;2012
Lviv University;Ukraine;1094;2012
Riau University;Indonesia;151;2012
University of Algarve;Portugal;711;2012
CY Cergy Paris Université;France;659;2012
Wroclaw University of Economics and Business;Poland;891;2012
Magna Graecia University;Italy;500;2012
Universidad del Noreste;Mexico;849;2012
Urbana University;United States;317;2012
Tokyo Medical University;Japan;611;2012
Universidad Pablo de Olavide;Spain;671;2012
Brooklyn College;United States;328;2012
Fukushima Medical University;Japan;467;2012
Moscow Power Engineering Institute;Russia;217;2012
Universitas PGRI Semarang;Indonesia;139;2012
Shenyang University of Technology;China;822;2012
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”;Ukraine;361;2012
National Institute of Technology Tiruchirappalli;India;588;2012
École Nationale Supérieure des Mines de Paris;France;732;2012
Graphic Era University;India;104;2012
University of Sciences and Technology Houari Boumediene;Algeria;615;2012
University of Ilorin;Nigeria;387;2012
Polytechnic University of Bari;Italy;540;2012
Andhra University;India;507;2012
Roskilde University;Denmark;612;2012
Université Toulouse-I-Capitole;France;621;2012
The King's College;United States;321;2012
Pondicherry University;India;710;2012
Mulawarman University;Indonesia;66;2012
Saratov State University;Russia;346;2012
Graduate School USA;United States;372;2012
Universität der Bundeswehr München;Germany;481;2012
Vilnius Gediminas Technical University;Lithuania;743;2012
Chinese University of Hong Kong, Shenzhen;China;96;2012
Institute of Chemical Technology;India;441;2012
Shibaura Institute of Technology;Japan;549;2012
Yuan Ze University;Taiwan;742;2012
Government College University, Faisalabad;Pakistan;151;2012
Jacksonville College;United States;418;2012
Universitas Islam Negeri Sumatera Utara;Indonesia;17;2012
Courant Institute of Mathematical Sciences;United States;359;2012
University of Lahore;Pakistan;50;2012
Indian Association for the Cultivation of Science;India;518;2012
UCL Australia;Australia;633;2012
Indian Institute of Technology Hyderabad;India;270;2012
Vienna University of Economics and Business;Austria;548;2012
University of Évora;Portugal;559;2012
Tarumanagara University;Indonesia;62;2012
National Yunlin University of Science and Technology;Taiwan;581;2012
Nnamdi Azikiwe University;Nigeria;254;2012
Universidade Federal do Tocantins;Brazil;338;2012
University of Lincoln;United Kingdom;366;2012
King George's Medical University;India;624;2012
St. Marianna University School of Medicine;Japan;357;2012
Université Paul-Valéry Montpellier;France;308;2012
Sathyabama Institute of Science and Technology;India;295;2012
University of Port Harcourt;Nigeria;310;2012
Universidade Estadual de Feira de Santana;Brazil;404;2012
Saints Cyril and Methodius University of Skopje;North Macedonia;426;2012
Symbiosis International University;India;163;2012
University of Zielona Góra;Poland;518;2012
Berkeley College;United States;546;2012
Moscow Aviation Institute;Russia;114;2012
Liaoning Normal University;China;729;2012
Karlsruhe University of Education;Germany;190;2012
University of Žilina;Slovakia;466;2012
École Normale Supérieure Paris-Saclay;France;648;2012
Iranshahr University;Iran;218;2012
Zhejiang University of Science and Technology;China;448;2012
Bharathidasan University;India;426;2012
Colegio de Postgraduados;Mexico;510;2012
South Ural State University;Russia;139;2012
Tanjungpura University;Indonesia;158;2012
University of Economics in Katowice;Poland;794;2012
All India Institute of Medical Sciences Bhopal;India;137;2012
Institute of Engineering;Nepal;437;2012
Muğla University;Türkiye;239;2012
Goldsmiths University of London;United Kingdom;487;2012
Central University of Rajasthan;India;35;2012
All India Institute of Medical Sciences Raipur;India;133;2012
Università della Svizzera italiana;Switzerland;476;2012
Université de Toulon;France;423;2012
Financial University;Russia;27;2012
Siksha O Anusandhan University;India;276;2012
Bucharest University of Economic Studies;Romania;513;2012
Afyon Kocatepe University;Türkiye;307;2012
Universitas Halu Oleo;Indonesia;66;2012
Heidelberg University;United States;312;2012
Universidade Luterana do Brasil;Brazil;671;2012
Tamil Nadu Agricultural University;India;272;2012
Montanuniversität Leoben;Austria;445;2012
Palo Alto University;United States;331;2012
San Raffaele University of Rome;Italy;592;2012
University of Calabar;Nigeria;380;2012
East China Jiaotong University;China;502;2012
Institute for Theoretical and Experimental Physics;Russia;556;2012
Moscow State Institute of International Relations;Russia;348;2012
Near East University;Cyprus;179;2012
University of Pembangunan Nasional Veteran Jawa Timur;Indonesia;14;2012
École Normale Supérieure;Burundi;416;2012
Oklahoma State University Oklahoma City;United States;408;2012
Capital University;United States;380;2012
Mercu Buana University;Indonesia;35;2012
Poznań University of Economics and Business;Poland;817;2012
Universidade Católica Portuguesa;Portugal;433;2012
Bharati Vidyapeeth Deemed University;India;351;2012
University of Hagen;Germany;408;2012
Utsunomiya University;Japan;346;2012
Universitas Pendidikan Ganesha;Indonesia;69;2012
California State University Los Angeles;United States;266;2012
University of Benin;Nigeria;276;2012
University of America;United States;274;2012
Université Ibn-Tofail;Morocco;191;2012
Université Bourgogne Franche-Comté;France;20;2012
Arts et Métiers;France;416;2012
University of the Philippines Diliman;Philippines;393;2012
University of Bamberg;Germany;353;2012
Université Jean Monnet;France;413;2012
University of Białystok;Poland;484;2012
Université Rennes 2;France;479;2012
Sardar Vallabhbhai National Institute of Technology Surat;India;398;2012
Sohag University;Egypt;255;2012
Universidad de Los Andes;Bolivia;508;2012
Clark University;United States;333;2012
Politeknik Kesehatan Kemenkes Semarang;Indonesia;41;2012
Izmir Kâtip Çelebi University;Türkiye;123;2012
Ankara Sosyal Bilimler Üniversitesi;Türkiye;68;2012
Temple College;United States;295;2012
Dr. Hari Singh Gour University;India;271;2012
University of Shizuoka;Japan;338;2012
Folkwang University of the Arts;Germany;353;2012
University of Craiova;Romania;406;2012
Université de Haute-Alsace;France;396;2012
Tbilisi State University;Georgia;458;2012
University of Sargodha;Pakistan;268;2012
College of Law;Latvia;542;2012
University of Pavol Jozef Šafárik;Slovakia;343;2012
Zunyi Medical University;China;173;2012
Samara National Research University;Russia;113;2012
Jamia Hamdard;India;400;2012
Sunan Gunung Djati State Islamic University Bandung;Indonesia;38;2012
Universitas Muhammadiyah Jember;Indonesia;21;2012
Universitas Muhammadiyah Malang;Indonesia;51;2012
University of Babylon;Iraq;97;2012
Université d'Artois;France;461;2012
University of New Hampshire at Manchester;United States;378;2012
Aerospace Information Research Institute;China;0;2012
New Mexico Institute of Mining and Technology;United States;293;2012
University of Indianapolis;United States;306;2012
Universitas Islam Negeri Raden Intan Lampung;Indonesia;52;2012
Birla Institute of Technology, Mesra;India;341;2012
Xi'an Shiyou University;China;492;2012
Ho Chi Minh City University of Technology;Vietnam;224;2012
Supélec;France;856;2012
Institute of Science and Technology;Nepal;286;2012
Universitas Nusa Bangsa;Indonesia;126;2012
Jiangxi Agricultural University;China;389;2012
Bangladesh Agricultural University;Bangladesh;378;2012
Shandong University of Traditional Chinese Medicine;China;368;2012
Université d'Abomey-Calavi;Benin;283;2012
Universitas Pamulang;Indonesia;2;2012
Universidade de Caxias do Sul;Brazil;572;2012
Institut Agro Montpellier;France;405;2012
Punjabi University;India;413;2012
International University of Health and Welfare;Japan;265;2012
Chimie ParisTech;France;324;2012
Marshall University;United States;321;2012
Gembloux Agro-Bio Tech;Belgium;271;2012
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology;India;123;2012
International Islamic University, Islamabad;Pakistan;244;2012
Ochanomizu University;Japan;260;2012
University of Puerto Rico-Mayaguez;Puerto Rico;400;2012
Tianjin University of Traditional Chinese Medicine;China;444;2012
District University of Bogotá;Colombia;546;2012
Universidade Federal da Grande Dourados;Brazil;427;2012
Fayoum University;Egypt;207;2012
Royal Military College of Canada;Canada;303;2012
Bohai University;China;533;2012
State University of Norte Fluminense;Brazil;394;2012
University of Kashmir;India;246;2012
University of Science and Technology;Yemen;325;2012
Pedagogical University;Mozambique;177;2012
Badji Mokhtar-Annaba University;Algeria;388;2012
University of Cape Coast;Ghana;168;2012
Université Paris-Panthéon-Assas;France;446;2012
National Taipei University;Taiwan;570;2012
Moscow State University of Civil Engineering;Russia;66;2012
University of Piraeus;Greece;433;2012
Maulana Azad Medical College;India;368;2012
University Frères Mentouri Constantine 1;Algeria;499;2012
Taiyuan University of Science and Technology;China;574;2012
Wilmington University;United States;282;2012
Universidade do Estado de Mato Grosso;Brazil;435;2012
University of Koblenz and Landau;Germany;358;2012
University of Arkansas at Little Rock;United States;443;2012
University Town of Shenzhen;China;286;2012
Universidade Estadual do Centro-Oeste;Brazil;402;2012
University of Cartagena;Colombia;444;2012
Universidade do Estado do Pará;Brazil;193;2012
École Centrale de Lille;France;199;2012
Yan'an University;China;406;2012
Chiba Institute of Technology;Japan;380;2012
Jakarta State Polytechnic;Indonesia;38;2012
University of Montenegro;Montenegro;326;2012
Universidade Paulista;Brazil;361;2012
Datta Meghe Institute of Medical Sciences;India;78;2012
New School;United States;351;2012
Baruch College;United States;298;2012
Universidade Estadual de Goiás;Brazil;364;2012
Hunan University of Technology;China;476;2012
Don State Technical University;Russia;66;2012
Universitas Muhammadiyah Sidoarjo;Indonesia;15;2012
King's College School;United Kingdom;144;2012
Bayero University Kano;Nigeria;168;2012
Heilongjiang Institute of Technology;China;582;2012
University of Zambia;Zambia;173;2012
University of Pannonia;Hungary;330;2012
Université de Dschang;Cameroon;164;2012
Rotterdam University of Applied Sciences;The Netherlands;117;2012
Islamic Azad University South Tehran Branch;Iran;439;2012
ParisTech;France;621;2012
Indraprasta Pgri University;Indonesia;11;2012
Hsin Sheng College of Medical Care and Management;Taiwan;202;2012
University of Sannio;Italy;356;2012
Technical University of Crete;Greece;385;2012
West University of Timişoara;Romania;375;2012
Mohamed I University;Morocco;238;2012
Saint Petersburg State Electrotechnical University;Russia;113;2012
Seton Hall University;United States;381;2012
Zhaotong University;China;403;2012
Satya Wacana Christian University;Indonesia;85;2012
Southern Illinois University Edwardsville;United States;309;2012
University of Singaperbangsa Karawang;Indonesia;6;2012
Sam Houston State University;United States;373;2012
Christian Medical College;India;304;2012
University of Limpopo;South Africa;352;2012
Universitas Nahdlatul Ulama Indonesia;Indonesia;1;2012
Université Lille Nord de France;France;1346;2012
Hadassah Academic College;Israel;114;2012
Universidade Federal dos Vales do Jequitinhonha e Mucuri;Brazil;342;2012
Universidade Federal de Rondônia;Brazil;222;2012
Universitas Muslim Indonesia;Indonesia;88;2012
Universidad de Ciencias Médicas de la Habana;Cuba;372;2012
Université Ibn Zohr;Morocco;188;2012
IAIN Palangka Raya;Indonesia;94;2012
Muroran Institute of Technology;Japan;255;2012
Universidade Federal de Alfenas;Brazil;299;2012
University of Guayaquil;Ecuador;81;2012
Institut Agama Islam Negeri Manado;Indonesia;289;2012
University of Miskolc;Hungary;293;2012
Universidad César Vallejo;Peru;8;2012
Institut Supérieur de l'Électronique et du Numérique;France;528;2012
Paris School of Economics;France;570;2012
École nationale des ponts et chaussées;France;357;2012
El Colegio de México;Mexico;278;2012
Harbin University;China;269;2012
Louisiana Tech University;United States;332;2012
Changchun University of Technology;China;416;2012
National Institute of Technology Kurukshetra;India;214;2012
PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH;India;279;2012
École Nationale Supérieure de Chimie de Montpellier;France;222;2012
Hangzhou Medical College;China;69;2012
Westfälische Hochschule;Germany;55;2012
Universidad Central "Marta Abreu" de las Villas (UCLV);Cuba;383;2012
Chaudhary Charan Singh Haryana Agricultural University;India;146;2012
Institut Agro Rennes-Angers;France;476;2012
Université Félix Houphouët-Boigny;Ivory Coast;198;2012
Pace University;United States;297;2012
Institut National des Sciences Appliquées de Toulouse;France;245;2012
Diego Portales University;Chile;327;2012
National University of Comahue;Argentina;333;2012
Paris-Est Sup;France;436;2012
Buffalo State University;United States;321;2012
Visva-Bharati University;India;304;2012
Izmir University;Türkiye;91;2012
Bangabandhu Sheikh Mujib Medical University;Bangladesh;311;2012
Jönköping University;Sweden;348;2012
Hong Kong Metropolitan University;Hong Kong;320;2012
Dalian Jiaotong University;China;531;2012
Universidade do Oeste de Santa Catarina;Brazil;263;2012
Xi’an University;China;427;2012
Universidad de Ciencias Medicas;Costa Rica;298;2012
University of Management and Technology;Pakistan;43;2012
Alagappa University;India;299;2012
First Pavlov State Medical University of St. Petersburg;Russia;136;2012
Helmut Schmidt University;Germany;349;2012
College of New Jersey;United States;229;2012
Mines Saint-Étienne;France;326;2012
Texas A&M Health Science Center;United States;538;2012
Universitas Muhammadiyah Kupang;Indonesia;27;2012
Medway School of Pharmacy;United Kingdom;75;2012
Forest Institute;United States;152;2012
Lake Erie College of Osteopathic Medicine;United States;50;2012
Luohe Medical College;China;157;2012
Keio University Shonan Fujisawa;Japan;72;2012
Dr D Y Patil Dental College & Hospital;India;80;2012
Escola Superior de Propaganda e Marketing;Brazil;70;2012
Isra University;Jordan;37;2012
South-West State University;Russia;27;2012
Togliatti State University;Russia;39;2012
Liverpool College;United Kingdom;7;2012
Noorul Islam University;India;100;2012
Clarendon College;United States;8;2012
Sakarya Uygulamalı Bilimler Üniversitesi;Türkiye;0;2012
Universidade Presidente Antônio Carlos;Brazil;52;2012
Ivano-Frankivsk National Technical University of Oil and Gas;Ukraine;18;2012
Kursk State Medical University;Russia;23;2012
SKEMA Business School;France;127;2012
Muhammad Nawaz Shareef University of Agriculture;Pakistan;1;2012
Harcourt Butler Technical University;India;59;2012
Centre de recherche interdisciplinaire sur les modèles esthétiques et littéraires;France;154;2012
Tumkur University;India;81;2012
Hiroshima International University;Japan;101;2012
University of French Guiana;French Guiana;51;2012
Institut Teknologi Adhi Tama Surabaya;Indonesia;8;2012
Musamus Merauke University;Indonesia;20;2012
Moscow Architectural Institute;Russia;56;2012
Center for Excellence in Education;United States;74;2012
École Supérieure de Commerce de Toulouse;France;97;2012
Brooklyn Law School;United States;167;2012
North Maharashtra University;India;102;2012
Fachhochschule Kiel;Germany;86;2012
Namibia University of Science and Technology;Namibia;58;2012
Rajiv Gandhi Technical University;India;142;2012
Universidade de Cuiabá;Brazil;77;2012
Central University of Haryana;India;4;2012
New York State School of Industrial and Labor Relations;United States;27;2012
Tashkent University of Information Technology;Uzbekistan;11;2012
Kuban State Technological University;Russia;29;2012
Andrzej Frycz Modrzewski Krakow University;Poland;109;2012
Université Abdou Moumouni;Niger;54;2012
Universidade Municipal de São Caetano do Sul;Brazil;76;2012
Al-Neelain University;Sudan;81;2012
Universidade Federal do Sul da Bahia;Brazil;1;2012
Universitas 45 Surabaya;Indonesia;57;2012
Princeton Theological Seminary;United States;68;2012
Tishk International University;Iraq;19;2012
HAN University of Applied Sciences;The Netherlands;67;2012
Universidad Técnica Estatal de Quevedo;Ecuador;36;2012
Université catholique de l'ouest;France;69;2012
The University of Texas of the Permian Basin;United States;75;2012
Universitas Internasional Semen Indonesia;Indonesia;12;2012
Institute of Business Management;Pakistan;47;2012
Andalusian School of Public Health;Spain;107;2012
Offenburg University of Applied Sciences;Germany;83;2012
National Institute of Technology;Indonesia;37;2012
Universitas Sulawesi Barat;Indonesia;3;2012
Letterkenny Institute of Technology;Ireland;30;2012
University Memory and Aging Center;United States;59;2012
Baden-Wuerttemberg Cooperative State University;Germany;113;2012
Sindh Agriculture University;Pakistan;33;2012
Kyoto College of Graduate Studies for Informatics;Japan;56;2012
Universities of Giessen and Marburg Lung Center;Germany;98;2012
St. Catherine University;United States;70;2012
Hunan Police Academy;China;107;2012
Nazi Boni University;Burkina Faso;63;2012
Hangzhou Vocational and Technical College;China;129;2012
Millersville University;United States;61;2012
Islamic Azad University, Marvdasht;Iran;93;2012
IMT Mines Alès;France;94;2012
Russian State Agrarian University - Moscow Timiryazev Agricultural Academy;Russia;10;2012
Saint Petersburg State University of Architecture and Civil Engineering;Russia;16;2012
Thiruvalluvar University;India;30;2012
Universitas Borneo Tarakan;Indonesia;15;2012
Imam Hossein University;Iran;91;2012
Kampala International University;Uganda;10;2012
State Marine Technical University of St. Petersburg;Russia;22;2012
Universidad de Guantánamo;Cuba;346;2012
Hunan University of Finance and Economics;China;115;2012
Mackay Junior College of Medicine, Nursing and Management;Taiwan;115;2012
Technological Institute of Celaya;Mexico;72;2012
Yunnan University of Traditional Chinese Medicine;China;61;2012
Juraj Dobrila University of Pula;Croatia;113;2012
Emmanuel College - Massachusetts;United States;55;2012
Krishi Vigyan Kendra, Ghatkhed Amravati;India;23;2012
Rajasthan Technical University;India;40;2012
Hanover College;United States;74;2012
Institute of Dermatology;Thailand;49;2012
J.C. Bose University of Science & Technology, YMCA;India;76;2012
B. J. Medical College & Sassoon Hospital;India;70;2012
Universitas Muhammadiyah Kendari;Indonesia;12;2012
International Management Institute;India;61;2012
Ohio Northern University;United States;111;2012
Tarleton State University;United States;66;2012
Seattle Pacific University;United States;114;2012
Drew University;United States;78;2012
National Pingtung University;Taiwan;131;2012
Winston-Salem State University;United States;121;2012
University of Shimane;Japan;71;2012
Universidad Estatal de Milagro;Ecuador;6;2012
Kuzbass State Technical University;Russia;16;2012
K S Hegde Medical Academy;India;99;2012
Hajee Mohammad Danesh Science and Technology University;Bangladesh;35;2012
Guarulhos University;Brazil;101;2012
Institute of Medical Sciences and Sum Hospital;India;31;2012
École Nationale des Greffes;France;74;2012
University of Science and Technology of Benin;Benin;84;2012
Ufuk University;Türkiye;80;2012
University of Redlands;United States;100;2012
Shaheed Suhrawardy Medical College;Bangladesh;83;2012
University of Kang Ning;Taiwan;81;2012
Urmia University of Technology;Iran;78;2012
Universidade Fundação Mineira de Educação e Cultura;Brazil;99;2012
Indian Institute of Technology Jammu;India;4;2012
Jining University;China;116;2012
Government Medical College;India;42;2012
University of El Salvador;El Salvador;44;2012
École Nationale Supérieure de Chimie de Rennes;France;80;2012
Dhanalakshmi Srinivasan Group of Institutions;India;25;2012
Xi'an International Studies University;China;105;2012
Northeast Catholic College;United States;41;2012
Universiti Teknologi Brunei;Brunei;28;2012
Eastern Liaoning University;China;146;2012
Ukrainian State University of Chemical Technology;Ukraine;40;2012
Kasturba Medical College, Mangalore;India;110;2012
Universitas Bosowa;Indonesia;4;2012
Centro Universitário UNINOVAFAPI;Brazil;12;2012
Tân Tạo University;Vietnam;100;2012
Soegijapranata Catholic University;Indonesia;42;2012
College of Tourism;Bulgaria;110;2012
Voronezh State Medical Academy named after N.N. Burdenko;Russia;16;2012
Cihan University-Erbil;Iraq;2;2012
Amur State University;Russia;19;2012
Dr. Bhim Rao Ambedkar University;India;77;2012
Instituto Federal de Educação, Ciência e Tecnologia Baiano;Brazil;66;2012
People’s University;India;104;2012
Islamic Azad University Ardabil;Iran;117;2012
Adam Smith Institute;United Kingdom;72;2012
Universidade Salgado de Oliveira;Brazil;103;2012
Universidade José do Rosário Vellano;Brazil;77;2012
Indira Gandhi Delhi Technical University for Women;India;26;2012
Odessa National Maritime University;Ukraine;48;2012
Shippensburg University;United States;88;2012
Medizinische Hochschule Brandenburg Theodor Fontane;Germany;1;2012
Henan Forestry Vocational College;China;174;2012
University of the Sacred Heart;Japan;112;2012
Insper;Brazil;109;2012
University of Zakho;Iraq;12;2012
Indiana University Indianapolis;United States;81;2012
Real Academia Española;Spain;56;2012
National Institute for Mathematical Sciences;South Korea;111;2012
Dalian Naval Academy;China;164;2012
European University of Rome;Italy;80;2012
R.V. College of Engineering;India;72;2012
Universitas Indo Global Mandiri;Indonesia;0;2012
Douglas College;Canada;41;2012
Universidad UTE;Ecuador;36;2012
Faculdades Oswaldo Cruz;Brazil;80;2012
Beijing City University;China;91;2012
Escola Superior de Saúde Egas Moniz;Portugal;68;2012
Azerbaijan Medical University;Azerbaijan;15;2012
Alsalam University College;Iraq;9;2012
Pasadena City College;United States;47;2012
Solapur University;India;122;2012
Alliance University;India;63;2012
National Institute of Technical Teachers Training and Research;India;36;2012
Université de Saida Dr.Moulay Tahar;Algeria;52;2012
Ziane Achour University of Djelfa;Algeria;43;2012
Central Institute of Fisheries Education;India;74;2012
Sichuan University of Arts and Science;China;167;2012
Kutztown University;United States;82;2012
Mirpur University of Science and Technology;Pakistan;14;2012
Ravenshaw University;India;37;2012
Universitas Muhammadiyah Parepare;Indonesia;25;2012
Liberal Arts University;Russia;51;2012
Jiangxi University of Technology;China;78;2012
Baotou Teachers College;China;169;2012
Islamic Azad University Pharmaceutical Sciences Branch;Iran;74;2012
Nasarawa State University;Nigeria;62;2012
Indian Institute of Management Indore;India;58;2012
Lawrence University;United States;68;2012
Nutrition Metabolism Aquaculture;France;96;2012
Udmurt State University;Russia;60;2012
Institute of Biological, Environmental and Rural Sciences;United Kingdom;122;2012
Shenyang Medical College;China;92;2012
National University of Jujuy;Argentina;78;2012
Texas A&M University School of Law;United States;107;2012
Turgut Özal University;Türkiye;18;2012
Universitas Widya Gama Malang;Indonesia;63;2012
Delta University for Science and Technology;Egypt;2;2012
Guangzhou Design Institute;China;158;2012
Institutt for Eksperimentell Medisinsk Forskning;Norway;72;2012
University of Vechta;Germany;78;2012
Universidad de Cuautitlán Izcalli;Mexico;71;2012
University of Suffolk;United Kingdom;59;2012
Universitas Islam Nusantara;Indonesia;17;2012
Moscow Automobile and Road Construction State Technical University;Russia;14;2012
Tajen University;Taiwan;102;2012
Petroleum & Gas University of Ploieşti;Romania;86;2012
Universidade Iguaçu;Brazil;47;2012
Orel State University named after I.S. Turgenev;Russia;12;2012
Rabindranath Tagore Medical College;India;36;2012
Islamic Azad University of Hamedan;Iran;132;2012
New York State College of Agriculture & Life Sciences;United States;18;2012
Center for Economic Research and Graduate Education – Economics Institute;Czechia;115;2012
Oranim Academic College of Education;Israel;73;2012
Azerbaijan State University of Economics;Azerbaijan;7;2012
University of Fort Lauderdale;United States;61;2012
Dnipro University of Technology;Ukraine;17;2012
Vinnytsia National Technical University;Ukraine;43;2012
National Institute for Biotechnology and Genetic Engineering;Pakistan;70;2012
Escola Superior de Ciências da Saúde;Brazil;47;2012
Catholic University of Colombia;Colombia;105;2012
Sacred Heart University;United States;100;2012
Sri Eshwar College of Engineering;India;2;2012
National University of Kyiv Mohyla Academy;Ukraine;48;2012
Ardahan University;Türkiye;17;2012
Bundelkhand University;India;52;2012
University of the Incarnate Word;United States;71;2012
Springfield College;United States;35;2012
Pacific Lutheran University;United States;86;2012
Siena College;United States;88;2012
Institut Teknologi Nasional Malang;Indonesia;12;2012
University of Bacău;Romania;86;2012
Tarsus University;Türkiye;14;2012
Pan-Atlantic University;Nigeria;32;2012
University of Muhammadiyah Mataram;Indonesia;0;2012
Frederick University;Cyprus;110;2012
Bowen University;Nigeria;20;2012
Walsh University;United States;101;2012
Dhofar University;Oman;19;2012
Universidad de Las Tunas;Cuba;76;2012
Institute of Rural Management Anand;India;90;2012
Titu Maiorescu University;Romania;92;2012
École Nationale des Chartes;France;58;2012
Peruvian Union University;Peru;13;2012
Olusegun Agagu University of Science and Technology;Nigeria;9;2012
UMIT - Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik;Austria;92;2012
École Normale Supérieure d'Abidjan;Ivory Coast;74;2012
Lincoln University College;Malaysia;2;2012
Universitas Wijayakusuma Purwokerto;Indonesia;24;2012
Indian Institute of Management Visakhapatnam;India;44;2012
Virginia State University;United States;95;2012
Universitas PGRI Yogyakarta;Indonesia;4;2012
Universidad Tecnológica Indoamérica;Ecuador;25;2012
Veszprémi Érseki Hittudományi Fõiskola;Hungary;14;2012
Hokkaido Pharmaceutical University;Japan;53;2012
Osaka Health Science University;Japan;85;2012
Technische Hochschule Mittelhessen;Germany;98;2012
